addressLine1,city,state,zipCode,formattedAddress,squareFootage,yearBuilt,bathrooms,bedrooms,lotSize,propertyType,longitude,latitude
30631 W Celeborn Dr,Buckeye,AZ,85396,"30631 W Celeborn Dr, Buckeye, AZ 85396",2025.0,2021.0,3.0,0.0,6960.0,Single Family,-112.710832,33.481631
1212 Horseman Pl,Bismarck,ND,58501,"1212 Horseman Pl, Bismarck, ND 58501",2306.0,2013.0,3.0,4.0,20491.0,Single Family,-100.746177,46.818761
11030 Creekbridge Pl,San Diego,CA,92128,"11030 Creekbridge Pl, San Diego, CA 92128",1273.0,2000.0,2.5,2.0,145899.0,Condo,-117.092509,32.945955
1113 W High St,Haddon Heights,NJ,8035,"1113 W High St, Haddon Heights, NJ 08035",1936.0,0.0,1.5,3.0,0.0,Single Family,-75.067199,39.875404
441 Janice Kay Pl,Kissimmee,FL,34744,"441 Janice Kay Pl, Kissimmee, FL 34744",2620.0,2005.0,2.0,3.0,5489.0,Single Family,-81.335555,28.287159
1145 Broadway,Somerville,MA,2144,"1145 Broadway, Apt 5, Somerville, MA 02144",0.0,0.0,1.0,1.0,0.0,Apartment,-71.127231,42.403288
Tahitian Gardens Cir,Holiday,FL,34691,"Tahitian Gardens Cir, Apt 23H, Holiday, FL 34691",0.0,0.0,0.0,0.0,0.0,Unknown,-82.74283199999999,28.192739
12 Tamarack Cir,Eagleville,PA,19403,"12 Tamarack Cir, Lot 86, Eagleville, PA 19403",1908.0,2020.0,2.5,3.0,3320.0,Townhouse,-75.32344647,40.17990147
1249 15th St SW,Birmingham,AL,35211,"1249 15th St SW, Birmingham, AL 35211",1006.0,1930.0,1.0,3.0,7000.0,Single Family,-86.85019,33.483886
PO Box 693,Roscoe,PA,15477,"PO Box 693, Roscoe, PA 15477",0.0,0.0,0.0,0.0,0.0,Unknown,-79.861806,40.079149
1701 Eutaw Pl,Baltimore,MD,21217,"1701 Eutaw Pl, Apt 302, Baltimore, MD 21217",0.0,0.0,0.0,0.0,0.0,Unknown,-76.629907,39.307626
505 Green St,Rock Hill,SC,29730,"505 Green St, Rm 3, Rock Hill, SC 29730",0.0,0.0,2.0,3.0,0.0,Condo,-81.03067,34.918175
704 W Taylor St,Griffin,GA,30223,"704 W Taylor St, Griffin, GA 30223",0.0,0.0,0.0,0.0,0.0,Unknown,-84.273744,33.246956
98 Margery Dr,East Hartford,CT,6118,"98 Margery Dr, East Hartford, CT 06118",912.0,1958.0,1.0,3.0,10019.0,Single Family,-72.597643,41.756369
412 Pine Glen Ln,Greenacres,FL,33463,"412 Pine Glen Ln, Apt A-2, Greenacres, FL 33463",929.0,1981.0,2.0,2.0,43560.0,Condo,-80.143135,26.606184
4506 Westminster,Benton,AR,72019,"4506 Westminster, Benton, AR 72019",2501.0,2005.0,2.5,0.0,45250.0,Single Family,-92.533156,34.615533
441 Nw 106th St,Miami,FL,33150,"441 Nw 106th St, Miami, FL 33150",1489.0,1947.0,2.0,3.0,6000.0,Single Family,-80.205606,25.87254
220 Pine Tree Trl,Crescent City,FL,32112,"220 Pine Tree Trl, Crescent City, FL 32112",1152.0,2006.0,0.0,0.0,18295.0,Manufactured,-81.555147,29.488092
937 N Iowa St,Olathe,KS,66061,"937 N Iowa St, Olathe, KS 66061",0.0,0.0,0.0,0.0,0.0,Unknown,-94.825332,38.894127
1181 Amber Pines Dr,Leland,NC,28451,"1181 Amber Pines Dr, Leland, NC 28451",1233.0,2005.0,2.0,3.0,0.0,Single Family,-78.073596,34.266491
520 S Mill St,Lexington,KY,40508,"520 S Mill St, Lexington, KY 40508",4503.0,2006.0,4.5,4.0,3049.0,Townhouse,-84.504689,38.043848
1233 Ridge Ave,Steubenville,OH,43952,"1233 Ridge Ave, Steubenville, OH 43952",1356.0,1910.0,1.0,2.0,5663.0,Single Family,-80.624429,40.367883
PO Box 832134,Ocala,FL,34483,"PO Box 832134, Ocala, FL 34483",0.0,0.0,0.0,0.0,0.0,Unknown,-82.0414,29.1316
910 Stratford Ave,Wichita Falls,TX,76306,"910 Stratford Ave, Wichita Falls, TX 76306",580.0,1928.0,1.0,1.0,7000.0,Single Family,-98.507772,33.924402
7325 Wayfarer Trl,Fort Worth,TX,76137,"7325 Wayfarer Trl, Fort Worth, TX 76137",1075.0,1983.0,2.0,2.0,9087.0,Single Family,-97.300492,32.872637
3041 Morsetowne Ct N,Columbus,OH,43224,"3041 Morsetowne Ct N, Columbus, OH 43224",896.0,1972.0,1.0,2.0,0.0,Condo,-82.935738,40.057272
98161 Golf Club Dr,Diamondhead,MS,39525,"98161 Golf Club Dr, Diamondhead, MS 39525",1812.0,1972.0,3.0,4.0,10890.0,Single Family,-89.35276,30.39855
414 S East St,Lebanon,OH,45036,"414 S East St, Lebanon, OH 45036",0.0,0.0,0.0,0.0,0.0,Unknown,-84.204812,39.426698
4567 Texas St,San Diego,CA,92116,"4567 Texas St, Apt 7, San Diego, CA 92116",0.0,0.0,0.0,0.0,0.0,Unknown,-117.138481,32.76034
201 Herndon St,Pittsburgh,PA,15220,"201 Herndon St, Pittsburgh, PA 15220",0.0,1900.0,1.0,0.0,3000.0,Vacant,-80.036833,40.44316
9345 W 82nd Ave,Arvada,CO,80005,"9345 W 82nd Ave, Arvada, CO 80005",2283.0,1977.0,2.0,4.0,13329.0,Single Family,-105.103741,39.846765
3710 Clubhouse Way,Gainesville,GA,30501,"3710 Clubhouse Way, Gainesville, GA 30501",1982.0,2006.0,2.0,3.0,16988.0,Single Family,-83.750534,34.368054
11230 Palatine Ave N,Seattle,WA,98133,"11230 Palatine Ave N, Seattle, WA 98133",2180.0,1940.0,2.0,3.0,8238.0,Single Family,-122.356457,47.711534
105 Knight St,Angleton,TX,77515,"105 Knight St, Angleton, TX 77515",2435.0,1994.0,1.0,0.0,11992.0,Single Family,-95.408813,29.182261
12232 Ridge Crown St,San Antonio,TX,78247,"12232 Ridge Crown St, San Antonio, TX 78247",1720.0,1983.0,4.0,4.0,6440.0,Duplex-Triplex,-98.429334,29.555502
401 Martinique Ave,Dallas,TX,75223,"401 Martinique Ave, Dallas, TX 75223",2175.0,2021.0,2.5,3.0,7231.0,Duplex-Triplex,-96.750056,32.802571
45-415 Aumoku St,Kaneohe,HI,96744,"45-415 Aumoku St, Kaneohe, HI 96744",2661.0,1954.0,5.0,5.0,7500.0,Single Family,-157.796676,21.401941
5504 Midwinter Mist St,North Las Vegas,NV,89031,"5504 Midwinter Mist St, North Las Vegas, NV 89031",2330.0,2006.0,2.5,3.0,4792.0,Single Family,-115.147058,36.259899
3747 W Helena Dr,Glendale,AZ,85308,"3747 W Helena Dr, Glendale, AZ 85308",1416.0,1976.0,2.0,0.0,8988.0,Single Family,-112.140949,33.644261
20460 Campbellton Rd,San Antonio,TX,78264,"20460 Campbellton Rd, San Antonio, TX 78264",0.0,0.0,0.0,0.0,217800.0,Single Family,-98.43735,29.215602
2018 Hobbyhorse Ave,Henderson,NV,89012,"2018 Hobbyhorse Ave, Henderson, NV 89012",2371.0,1996.0,3.0,4.0,5663.0,Single Family,-115.074379,36.015244
5334 Tilting Oaks Ct E,Jacksonville,FL,32258,"5334 Tilting Oaks Ct E, Jacksonville, FL 32258",1754.0,1985.0,2.0,3.0,9869.0,Single Family,-81.567578,30.140398
500 Victory Way,Pasadena,MD,21122,"500 Victory Way, Apt 3, Pasadena, MD 21122",0.0,0.0,0.0,0.0,0.0,Unknown,-76.541049,39.119987
